73	h5nc	4B					
-	526	SI_Face_34	87	0	0	-1	-1
-	527	SI_Face_35	88	0	0	-1	-1
-	528	SI_PlayerFace_01	88	0	0	-1	-1
-	529	SI_PlayerFace_02	87	0	0	-1	-1
-	530	SI_PlayerFace_03	80	0	0	-1	-1
-	531	SI_PlayerFace_04	74	0	0	-1	-1
-	532	SI_PlayerFace_05	68	0	0	-1	-1
-	533	SI_PlayerFace_06	79	0	0	-1	-1
-	534	SI_PlayerFace_07	66	0	0	-1	-1
-	535	SI_PlayerFace_08	54	0	0	-1	-1
-	536	SI_PlayerFace_09	56	0	0	-1	-1
-	537	SI_PlayerFace_10	58	0	0	-1	-1
-	538	SI_PlayerFace_11	59	0	0	-1	-1
-	539	SI_PlayerFace_12	61	0	0	-1	-1
-	540	SI_PlayerFace_13	63	0	0	-1	-1
-	541	SI_PlayerFace_14	65	0	0	-1	-1
-	542	SI_PlayerFace_15	67	0	0	-1	-1
-	543	SI_PlayerFace_16	71	0	0	-1	-1
-	544	SI_PlayerFace_17	73	0	0	-1	-1
-	545	SI_PlayerFace_18	75	0	0	-1	-1
-	546	SI_PlayerFace_19	78	0	0	-1	-1
-	547	SI_PlayerFace_20	81	0	0	-1	-1
-	548	SI_PlayerFace_21	82	0	0	-1	-1
-	549	SI_PlayerFace_22	86	0	0	-1	-1
-	550	SI_MusicName_01	163	0	0	256	13
-	551	SI_MusicName_02	163	0	13	256	13
-	552	SI_MusicName_03	163	0	26	256	13
-	553	SI_MusicName_04	163	0	39	256	13
-	554	SI_MusicName_05	163	0	52	256	13
-	555	SI_MusicName_06	163	0	65	256	13
-	556	SI_MusicName_07	163	0	78	256	13
-	557	SI_MusicName_08	163	0	91	256	13
-	558	SI_MusicName_09	163	0	104	256	13
-	559	SI_MusicName_10	163	0	117	256	13
-	560	SI_MusicName_11	163	0	130	256	13
-	561	SI_MusicName_12	163	0	143	256	13
-	562	SI_MusicName_13	163	0	156	256	13
-	563	SI_MusicName_14	163	0	169	256	13
-	564	SI_MusicName_15	163	0	182	256	13
-	565	SI_MusicName_16	163	0	195	256	13
-	566	SI_MusicName_17	163	0	208	256	13
-	567	SI_MusicName_18	163	0	221	256	13
-	568	SI_MusicName_19	163	0	234	256	13
-	569	SI_MusicName_20	163	0	247	256	13
-	570	SI_MusicName_21	163	0	260	256	13
-	571	SI_MusicName_22	163	0	273	256	13
-	572	SI_MusicName_23	163	0	286	256	13
-	573	SI_MusicName_24	163	0	299	256	13
-	574	SI_MusicName_25	163	0	312	256	13
-	575	SI_MusicName_26	163	0	325	256	13
-	576	SI_MusicName_27	163	0	338	256	13
-	577	SI_MusicName_28	163	0	351	256	13
-	578	SI_MusicName_29	163	0	364	256	13
-	579	SI_MusicName_30	163	0	377	256	13
-	580	SI_MusicName_31	163	0	390	256	13
-	581	SI_MusicName_32	163	0	403	256	13
-	582	SI_MusicName_33	163	0	416	256	13
-	583	SI_MusicName_34	163	0	429	256	13
-	584	SI_MusicName_35	163	0	442	256	13
-	585	SI_MusicName_36	163	0	455	256	13
-	586	SI_MusicName_37	163	0	468	256	13
-	587	SI_BorderCircle	7	0	0	-1	-1
#		PlayerGhost					
-	600	SI_PlayerGhost_00_0	10	64	144	16	16
-	601	SI_PlayerGhost_00_1	10	80	144	16	16
-	602	SI_PlayerGhost_01_0	11	176	144	16	16
-	603	SI_PlayerGhost_01_1	11	160	144	16	16
-	604	SI_PlayerGhost_02	12	128	144	32	32
-	605	SI_PlayerGhost_03	13	128	144	32	32
-	606	SI_PlayerGhost_04	14	128	160	32	32
-	607	SI_PlayerGhost_05	40	0	0	0	0
-	608	SI_PlayerGhost_06	16	128	160	16	16
-	609	SI_PlayerGhost_07	17	0	224	32	32
-	610	SI_PlayerGhost_08	42	0	0	0	0
-	611	SI_PlayerGhost_09	19	0	192	32	32
-	612	SI_PlayerGhost_10	20	16	160	16	32
-	613	SI_PlayerGhost_11	21	0	160	32	32
-	614	SI_PlayerGhost_12	22	128	144	32	32
-	615	SI_PlayerGhost_13	23	0	192	24	24
-	616	SI_PlayerGhost_15	25	160	144	32	32
-	617	SI_PlayerGhost_16	26	0	224	32	32
-	618	SI_PlayerGhost_17	27	128	144	32	32
-	619	SI_PlayerGhost_18_0	28	128	192	48	48
-	620	SI_PlayerGhost_18_1	28	32	192	32	16
-	621	SI_PlayerGhost_19	29	64	144	16	16
-	622	SI_PlayerGhost_20	30	192	144	32	32
-	623	SI_PlayerGhost_21	46	0	0	0	0
#		Scene					
-	640	SI_TitleScene	160	0	0	-1	-1
-	641	SI_SelectScene	161	0	0	-1	-1
-	642	SI_BattleTable	162	0	0	500	380
-	643	SI_BG_01_1	180	0	0	-1	-1
-	644	SI_BG_02_1	181	0	0	-1	-1
-	645	SI_BG_02_2	182	0	0	512	512
-	646	SI_BG_03_1	183	0	0	-1	-1
-	647	SI_BG_03_2	184	0	0	-1	-1
-	648	SI_BG_04_1	185	0	0	-1	-1
-	649	SI_BG_04_2	186	0	0	-1	-1
-	650	SI_BG_05_1	187	0	0	512	512
-	651	SI_BG_05_2	188	0	0	-1	-1
-	652	SI_BG_07_1	189	0	0	-1	-1
-	653	SI_BG_07_2	190	0	0	512	512
-	654	SI_BG_09_1	191	0	0	-1	-1
-	655	SI_BG_09_2	192	0	0	-1	-1
-	656	SI_BG_10_1	193	0	0	-1	-1
-	657	SI_BG_10_2	194	0	0	-1	-1
-	658	SI_BG_11_1	195	0	0	-1	-1
-	659	SI_BG_11_2	196	0	0	-1	-1
-	660	SI_BG_12_1	197	0	0	-1	-1
-	661	SI_BG_12_2	198	0	0	-1	-1
-	662	SI_BG_13_1	199	0	0	-1	-1
-	663	SI_BG_13_2	200	0	0	-1	-1
-	664	SI_BG_14_1	201	0	0	-1	-1
-	665	SI_BG_14_2	202	0	0	-1	-1
-	666	SI_BG_15_1	203	0	0	-1	-1
-	667	SI_BG_15_2	204	0	0	-1	-1
-	668	SI_BG_16_1	205	0	0	-1	-1
-	669	SI_BG_16_2	206	0	0	512	512
-	670	SI_BG_17_1	207	0	0	-1	-1
-	671	SI_BG_17_2	208	0	0	512	512
-	672	SI_BG_18_1	209	0	0	-1	-1
-	673	SI_BG_18_2	210	0	0	-1	-1
-	674	SI_BG_19_1	211	0	0	-1	-1
-	675	SI_BG_19_2	212	0	0	384	384
-	676	SI_BG_20_1	213	0	0	-1	-1
-	677	SI_BG_20_2	214	0	0	-1	-1
-	678	SI_BG_21_1	215	0	0	-1	-1
-	679	SI_BG_21_2	216	0	0	-1	-1
-	680	SI_BG_22_2	217	0	0	-1	-1
-	681	SI_BG_23_1	218	0	0	-1	-1
-	682	SI_BG_23_2	219	0	0	-1	-1
-	683	SI_BG_24_1	220	0	0	-1	-1
-	684	SI_BG_24_2	221	0	0	-1	-1
-	685	SI_BG_25_1	222	0	0	-1	-1
-	686	SI_BG_25_2	223	0	0	384	384
-	687	SI_BG_26_1	224	0	0	-1	-1
-	688	SI_BG_26_2	225	0	0	512	512
-	689	SI_BG_27_1	226	0	0	-1	-1
-	690	SI_BG_28_1	227	0	0	-1	-1
-	691	SI_BG_28_2	228	0	0	-1	-1
-	692	SI_BG_29_1	229	0	0	-1	-1
-	693	SI_BG_29_2	230	0	0	384	384
-	694	SI_BG_30_1	231	0	0	-1	-1
-	695	SI_BG_30_2	232	0	0	384	384
-	696	SI_BG_31_1	233	0	0	384	448
-	697	SI_BG_31_2	234	0	0	-1	-1
-	698	SI_BG_32_1	235	0	0	384	448
-	699	SI_BG_32_2	236	0	0	384	384
-	700	SI_BG_33_1	237	0	0	-1	-1
-	701	SI_BG_33_2	238	0	0	-1	-1
-	750	SI_PlayerComment_01	170	0	0	256	256
-	751	SI_PlayerComment_02	170	256	0	256	256
-	752	SI_PlayerComment_03	171	0	0	256	256
-	753	SI_PlayerComment_04	171	256	0	256	256
-	754	SI_PlayerComment_05	170	0	256	256	256
-	755	SI_PlayerComment_06	170	256	256	256	256
-	756	SI_PlayerComment_07	171	0	256	256	256
-	757	SI_PlayerComment_08	171	256	256	256	256
-	758	SI_PlayerComment_09	172	0	0	256	256
-	759	SI_PlayerComment_10	172	256	0	256	256
-	760	SI_PlayerComment_11	173	0	0	256	256
-	761	SI_PlayerComment_12	173	256	0	256	256
-	762	SI_PlayerComment_13	172	0	256	256	256
-	763	SI_PlayerComment_14	172	256	256	256	256
-	764	SI_PlayerComment_15	173	0	256	256	256
-	765	SI_PlayerComment_16	173	256	256	256	256
-	766	SI_PlayerComment_17	174	0	0	256	256
-	767	SI_PlayerComment_18	174	256	0	256	256
-	768	SI_PlayerComment_19	174	0	256	256	256
-	769	SI_PlayerComment_20	174	256	256	256	256
-	770	SI_PlayerComment_21	175	0	0	256	256
-	771	SI_PlayerComment_22	175	256	0	256	256
#		Bullet					
-	1400	SI_Bullet_ShuttleBeam_0	2	0	0	16	16
-	1401	SI_Bullet_ShuttleBeam_1	2	16	0	16	16
-	1402	SI_Bullet_ShuttleBeam_2	2	32	0	16	16
-	1403	SI_Bullet_ShuttleBeam_3	2	48	0	16	16
-	1404	SI_Bullet_ShuttleBeam_4	2	64	0	16	16
-	1405	SI_Bullet_ShuttleBeam_5	2	80	0	16	16
-	1406	SI_Bullet_ShuttleBeam_6	2	96	0	16	16
-	1407	SI_Bullet_ShuttleBeam_7	2	112	0	16	16
-	1408	SI_Bullet_ShuttleBeam_8	2	128	0	16	16
-	1409	SI_Bullet_ShuttleBeam_9	2	144	0	16	16
-	1410	SI_Bullet_ShuttleBeam_10	2	160	0	16	16
-	1411	SI_Bullet_ShuttleBeam_11	2	176	0	16	16
-	1412	SI_Bullet_ShuttleBeam_12	2	192	0	16	16
-	1413	SI_Bullet_ShuttleBeam_13	2	208	0	16	16
-	1414	SI_Bullet_ShuttleBeam_14	2	224	0	16	16
-	1415	SI_Bullet_ShuttleBeam_15	2	240	0	16	16
-	1416	SI_Bullet_Scale_0	2	0	16	16	16
-	1417	SI_Bullet_Scale_1	2	16	16	16	16
-	1418	SI_Bullet_Scale_2	2	32	16	16	16
-	1419	SI_Bullet_Scale_3	2	48	16	16	16
-	1420	SI_Bullet_Scale_4	2	64	16	16	16
-	1421	SI_Bullet_Scale_5	2	80	16	16	16
-	1422	SI_Bullet_Scale_6	2	96	16	16	16
-	1423	SI_Bullet_Scale_7	2	112	16	16	16
-	1424	SI_Bullet_Scale_8	2	128	16	16	16
-	1425	SI_Bullet_Scale_9	2	144	16	16	16
-	1426	SI_Bullet_Scale_10	2	160	16	16	16
-	1427	SI_Bullet_Scale_11	2	176	16	16	16
-	1428	SI_Bullet_Scale_12	2	192	16	16	16
-	1429	SI_Bullet_Scale_13	2	208	16	16	16
-	1430	SI_Bullet_Scale_14	2	224	16	16	16
-	1431	SI_Bullet_Scale_15	2	240	16	16	16
-	1432	SI_Bullet_Ring_0	2	0	32	16	16
-	1433	SI_Bullet_Ring_1	2	16	32	16	16
-	1434	SI_Bullet_Ring_2	2	32	32	16	16
-	1435	SI_Bullet_Ring_3	2	48	32	16	16
-	1436	SI_Bullet_Ring_4	2	64	32	16	16
-	1437	SI_Bullet_Ring_5	2	80	32	16	16
-	1438	SI_Bullet_Ring_6	2	96	32	16	16
-	1439	SI_Bullet_Ring_7	2	112	32	16	16
-	1440	SI_Bullet_Ring_8	2	128	32	16	16
-	1441	SI_Bullet_Ring_9	2	144	32	16	16
-	1442	SI_Bullet_Ring_10	2	160	32	16	16
-	1443	SI_Bullet_Ring_11	2	176	32	16	16
-	1444	SI_Bullet_Ring_12	2	192	32	16	16
-	1445	SI_Bullet_Ring_13	2	208	32	16	16
-	1446	SI_Bullet_Ring_14	2	224	32	16	16
-	1447	SI_Bullet_Ring_15	2	240	32	16	16
-	1448	SI_Bullet_MiddleBall_0	2	0	48	16	16
-	1449	SI_Bullet_MiddleBall_1	2	16	48	16	16
-	1450	SI_Bullet_MiddleBall_2	2	32	48	16	16
-	1451	SI_Bullet_MiddleBall_3	2	48	48	16	16
-	1452	SI_Bullet_MiddleBall_4	2	64	48	16	16
-	1453	SI_Bullet_MiddleBall_5	2	80	48	16	16
-	1454	SI_Bullet_MiddleBall_6	2	96	48	16	16
-	1455	SI_Bullet_MiddleBall_7	2	112	48	16	16
-	1456	SI_Bullet_MiddleBall_8	2	128	48	16	16
-	1457	SI_Bullet_MiddleBall_9	2	144	48	16	16
-	1458	SI_Bullet_MiddleBall_10	2	160	48	16	16
-	1459	SI_Bullet_MiddleBall_11	2	176	48	16	16
-	1460	SI_Bullet_MiddleBall_12	2	192	48	16	16
-	1461	SI_Bullet_MiddleBall_13	2	208	48	16	16
-	1462	SI_Bullet_MiddleBall_14	2	224	48	16	16
-	1463	SI_Bullet_MiddleBall_15	2	240	48	16	16
-	1464	SI_Bullet_Shuttle_0	2	0	64	16	16
-	1465	SI_Bullet_Shuttle_1	2	16	64	16	16
-	1466	SI_Bullet_Shuttle_2	2	32	64	16	16
-	1467	SI_Bullet_Shuttle_3	2	48	64	16	16
-	1468	SI_Bullet_Shuttle_4	2	64	64	16	16
-	1469	SI_Bullet_Shuttle_5	2	80	64	16	16
-	1470	SI_Bullet_Shuttle_6	2	96	64	16	16
-	1471	SI_Bullet_Shuttle_7	2	112	64	16	16
-	1472	SI_Bullet_Shuttle_8	2	128	64	16	16
-	1473	SI_Bullet_Shuttle_9	2	144	64	16	16
-	1474	SI_Bullet_Shuttle_10	2	160	64	16	16
-	1475	SI_Bullet_Shuttle_11	2	176	64	16	16
-	1476	SI_Bullet_Shuttle_12	2	192	64	16	16
-	1477	SI_Bullet_Shuttle_13	2	208	64	16	16
-	1478	SI_Bullet_Shuttle_14	2	224	64	16	16
-	1479	SI_Bullet_Shuttle_15	2	240	64	16	16
-	1480	SI_Bullet_Kunai_0	2	0	80	16	16
-	1481	SI_Bullet_Kunai_1	2	16	80	16	16
-	1482	SI_Bullet_Kunai_2	2	32	80	16	16
-	1483	SI_Bullet_Kunai_3	2	48	80	16	16
-	1484	SI_Bullet_Kunai_4	2	64	80	16	16
-	1485	SI_Bullet_Kunai_5	2	80	80	16	16
-	1486	SI_Bullet_Kunai_6	2	96	80	16	16
-	1487	SI_Bullet_Kunai_7	2	112	80	16	16
-	1488	SI_Bullet_Kunai_8	2	128	80	16	16
-	1489	SI_Bullet_Kunai_9	2	144	80	16	16
-	1490	SI_Bullet_Kunai_10	2	160	80	16	16
-	1491	SI_Bullet_Kunai_11	2	176	80	16	16
-	1492	SI_Bullet_Kunai_12	2	192	80	16	16
-	1493	SI_Bullet_Kunai_13	2	208	80	16	16
-	1494	SI_Bullet_Kunai_14	2	224	80	16	16
-	1495	SI_Bullet_Kunai_15	2	240	80	16	16
-	1496	SI_Bullet_Arris_0	2	0	96	16	16
-	1497	SI_Bullet_Arris_1	2	16	96	16	16
-	1498	SI_Bullet_Arris_2	2	32	96	16	16
-	1499	SI_Bullet_Arris_3	2	48	96	16	16
-	1500	SI_Bullet_Arris_4	2	64	96	16	16
-	1501	SI_Bullet_Arris_5	2	80	96	16	16
-	1502	SI_Bullet_Arris_6	2	96	96	16	16
-	1503	SI_Bullet_Arris_7	2	112	96	16	16
-	1504	SI_Bullet_Arris_8	2	128	96	16	16
-	1505	SI_Bullet_Arris_9	2	144	96	16	16
-	1506	SI_Bullet_Arris_10	2	160	96	16	16
-	1507	SI_Bullet_Arris_11	2	176	96	16	16
-	1508	SI_Bullet_Arris_12	2	192	96	16	16
-	1509	SI_Bullet_Arris_13	2	208	96	16	16
-	1510	SI_Bullet_Arris_14	2	224	96	16	16
-	1511	SI_Bullet_Arris_15	2	240	96	16	16
-	1512	SI_Bullet_Amulet_0	2	0	112	16	16
-	1513	SI_Bullet_Amulet_1	2	16	112	16	16
-	1514	SI_Bullet_Amulet_2	2	32	112	16	16
-	1515	SI_Bullet_Amulet_3	2	48	112	16	16
-	1516	SI_Bullet_Amulet_4	2	64	112	16	16
-	1517	SI_Bullet_Amulet_5	2	80	112	16	16
-	1518	SI_Bullet_Amulet_6	2	96	112	16	16
-	1519	SI_Bullet_Amulet_7	2	112	112	16	16
-	1520	SI_Bullet_Amulet_8	2	128	112	16	16
-	1521	SI_Bullet_Amulet_9	2	144	112	16	16
-	1522	SI_Bullet_Amulet_10	2	160	112	16	16
-	1523	SI_Bullet_Amulet_11	2	176	112	16	16
-	1524	SI_Bullet_Amulet_12	2	192	112	16	16
-	1525	SI_Bullet_Amulet_13	2	208	112	16	16
-	1526	SI_Bullet_Amulet_14	2	224	112	16	16
-	1527	SI_Bullet_Amulet_15	2	240	112	16	16
-	1528	SI_Bullet_GunBullet_0	2	0	128	16	16
-	1529	SI_Bullet_GunBullet_1	2	16	128	16	16
-	1530	SI_Bullet_GunBullet_2	2	32	128	16	16
-	1531	SI_Bullet_GunBullet_3	2	48	128	16	16
-	1532	SI_Bullet_GunBullet_4	2	64	128	16	16
-	1533	SI_Bullet_GunBullet_5	2	80	128	16	16
-	1534	SI_Bullet_GunBullet_6	2	96	128	16	16
-	1535	SI_Bullet_GunBullet_7	2	112	128	16	16
-	1536	SI_Bullet_GunBullet_8	2	128	128	16	16
-	1537	SI_Bullet_GunBullet_9	2	144	128	16	16
-	1538	SI_Bullet_GunBullet_10	2	160	128	16	16
-	1539	SI_Bullet_GunBullet_11	2	176	128	16	16
-	1540	SI_Bullet_GunBullet_12	2	192	128	16	16
-	1541	SI_Bullet_GunBullet_13	2	208	128	16	16
-	1542	SI_Bullet_GunBullet_14	2	224	128	16	16
-	1543	SI_Bullet_GunBullet_15	2	240	128	16	16
-	1544	SI_Bullet_BlackShuttle_0	2	0	144	16	16
-	1545	SI_Bullet_BlackShuttle_1	2	16	144	16	16
-	1546	SI_Bullet_BlackShuttle_2	2	32	144	16	16
-	1547	SI_Bullet_BlackShuttle_3	2	48	144	16	16
-	1548	SI_Bullet_BlackShuttle_4	2	64	144	16	16
-	1549	SI_Bullet_BlackShuttle_5	2	80	144	16	16
-	1550	SI_Bullet_BlackShuttle_6	2	96	144	16	16
-	1551	SI_Bullet_BlackShuttle_7	2	112	144	16	16
-	1552	SI_Bullet_BlackShuttle_8	2	128	144	16	16
-	1553	SI_Bullet_BlackShuttle_9	2	144	144	16	16
-	1554	SI_Bullet_BlackShuttle_10	2	160	144	16	16
-	1555	SI_Bullet_BlackShuttle_11	2	176	144	16	16
-	1556	SI_Bullet_BlackShuttle_12	2	192	144	16	16
-	1557	SI_Bullet_BlackShuttle_13	2	208	144	16	16
-	1558	SI_Bullet_BlackShuttle_14	2	224	144	16	16
-	1559	SI_Bullet_BlackShuttle_15	2	240	144	16	16
-	1560	SI_Bullet_Star_0	2	0	160	16	16
-	1561	SI_Bullet_Star_1	2	16	160	16	16
-	1562	SI_Bullet_Star_2	2	32	160	16	16
-	1563	SI_Bullet_Star_3	2	48	160	16	16
-	1564	SI_Bullet_Star_4	2	64	160	16	16
-	1565	SI_Bullet_Star_5	2	80	160	16	16
-	1566	SI_Bullet_Star_6	2	96	160	16	16
-	1567	SI_Bullet_Star_7	2	112	160	16	16
-	1568	SI_Bullet_Star_8	2	128	160	16	16
-	1569	SI_Bullet_Star_9	2	144	160	16	16
-	1570	SI_Bullet_Star_10	2	160	160	16	16
-	1571	SI_Bullet_Star_11	2	176	160	16	16
-	1572	SI_Bullet_Star_12	2	192	160	16	16
-	1573	SI_Bullet_Star_13	2	208	160	16	16
-	1574	SI_Bullet_Star_14	2	224	160	16	16
-	1575	SI_Bullet_Star_15	2	240	160	16	16
-	1576	SI_Bullet_RollingBall_0	2	0	176	16	16
-	1577	SI_Bullet_RollingBall_1	2	16	176	16	16
-	1578	SI_Bullet_RollingBall_2	2	32	176	16	16
-	1579	SI_Bullet_RollingBall_3	2	48	176	16	16
-	1580	SI_Bullet_RollingBall_4	2	64	176	16	16
-	1581	SI_Bullet_RollingBall_5	2	80	176	16	16
-	1582	SI_Bullet_RollingBall_6	2	96	176	16	16
-	1583	SI_Bullet_RollingBall_7	2	112	176	16	16
-	1584	SI_Bullet_RollingBall_8	2	128	176	16	16
-	1585	SI_Bullet_RollingBall_9	2	144	176	16	16
-	1586	SI_Bullet_RollingBall_10	2	160	176	16	16
-	1587	SI_Bullet_RollingBall_11	2	176	176	16	16
-	1588	SI_Bullet_RollingBall_12	2	192	176	16	16
-	1589	SI_Bullet_RollingBall_13	2	208	176	16	16
-	1590	SI_Bullet_RollingBall_14	2	224	176	16	16
-	1591	SI_Bullet_RollingBall_15	2	240	176	16	16
-	1592	SI_Bullet_SmallStar_0	2	0	192	8	8
-	1593	SI_Bullet_SmallStar_1	2	8	192	8	8
-	1594	SI_Bullet_SmallStar_2	2	16	192	8	8
-	1595	SI_Bullet_SmallStar_3	2	24	192	8	8
-	1596	SI_Bullet_SmallStar_4	2	32	192	8	8
-	1597	SI_Bullet_SmallStar_5	2	40	192	8	8
-	1598	SI_Bullet_SmallStar_6	2	48	192	8	8
-	1599	SI_Bullet_SmallStar_7	2	56	192	8	8
-	1600	SI_Bullet_SmallStar_8	2	64	192	8	8
-	1601	SI_Bullet_SmallStar_9	2	72	192	8	8
-	1602	SI_Bullet_SmallStar_10	2	80	192	8	8
-	1603	SI_Bullet_SmallStar_11	2	88	192	8	8
-	1604	SI_Bullet_SmallStar_12	2	96	192	8	8
-	1605	SI_Bullet_SmallStar_13	2	104	192	8	8
-	1606	SI_Bullet_SmallStar_14	2	112	192	8	8
-	1607	SI_Bullet_SmallStar_15	2	120	192	8	8
-	1608	SI_Bullet_SmallBall_0	2	0	200	8	8
-	1609	SI_Bullet_SmallBall_1	2	8	200	8	8
-	1610	SI_Bullet_SmallBall_2	2	16	200	8	8
-	1611	SI_Bullet_SmallBall_3	2	24	200	8	8
-	1612	SI_Bullet_SmallBall_4	2	32	200	8	8
-	1613	SI_Bullet_SmallBall_5	2	40	200	8	8
-	1614	SI_Bullet_SmallBall_6	2	48	200	8	8
-	1615	SI_Bullet_SmallBall_7	2	56	200	8	8
-	1616	SI_Bullet_SmallBall_8	2	64	200	8	8
-	1617	SI_Bullet_SmallBall_9	2	72	200	8	8
-	1618	SI_Bullet_SmallBall_10	2	80	200	8	8
-	1619	SI_Bullet_SmallBall_11	2	88	200	8	8
-	1620	SI_Bullet_SmallBall_12	2	96	200	8	8
-	1621	SI_Bullet_SmallBall_13	2	104	200	8	8
-	1622	SI_Bullet_SmallBall_14	2	112	200	8	8
-	1623	SI_Bullet_SmallBall_15	2	120	200	8	8
-	1624	SI_Bullet_Coin_0	2	160	192	16	16
-	1625	SI_Bullet_Coin_1	2	176	192	16	16
-	1626	SI_Bullet_Coin_2	2	192	192	16	16
-	1627	SI_Bullet_Coin_3	2	208	192	16	16
-	1628	SI_Bullet_Coin_4	2	224	192	16	16
-	1629	SI_Bullet_Coin_5	2	240	192	16	16
-	1630	SI_Bullet_HugeBall_0	2	256	0	64	64
-	1631	SI_Bullet_HugeBall_1	2	320	0	64	64
-	1632	SI_Bullet_HugeBall_2	2	384	0	64	64
-	1633	SI_Bullet_HugeBall_3	2	448	0	64	64
-	1634	SI_Bullet_BigStar_0	2	256	64	32	32
-	1635	SI_Bullet_BigStar_1	2	288	64	32	32
-	1636	SI_Bullet_BigStar_2	2	320	64	32	32
-	1637	SI_Bullet_BigStar_3	2	352	64	32	32
-	1638	SI_Bullet_BigStar_4	2	384	64	32	32
-	1639	SI_Bullet_BigStar_5	2	416	64	32	32
-	1640	SI_Bullet_BigStar_6	2	448	64	32	32
-	1641	SI_Bullet_BigStar_7	2	480	64	32	32
-	1642	SI_Bullet_BigBall_0	2	256	96	32	32
-	1643	SI_Bullet_BigBall_1	2	288	96	32	32
-	1644	SI_Bullet_BigBall_2	2	320	96	32	32
-	1645	SI_Bullet_BigBall_3	2	352	96	32	32
-	1646	SI_Bullet_BigBall_4	2	384	96	32	32
-	1647	SI_Bullet_BigBall_5	2	416	96	32	32
-	1648	SI_Bullet_BigBall_6	2	448	96	32	32
-	1649	SI_Bullet_BigBall_7	2	480	96	32	32
-	1650	SI_Bullet_BendedKnife_0	2	256	128	32	32
-	1651	SI_Bullet_BendedKnife_1	2	288	128	32	32
-	1652	SI_Bullet_BendedKnife_2	2	320	128	32	32
-	1653	SI_Bullet_BendedKnife_3	2	352	128	32	32
-	1654	SI_Bullet_BendedKnife_4	2	384	128	32	32
-	1655	SI_Bullet_BendedKnife_5	2	416	128	32	32
-	1656	SI_Bullet_BendedKnife_6	2	448	128	32	32
-	1657	SI_Bullet_BendedKnife_7	2	480	128	32	32
-	1658	SI_Bullet_Butterfly_0	2	256	160	32	32
-	1659	SI_Bullet_Butterfly_1	2	288	160	32	32
-	1660	SI_Bullet_Butterfly_2	2	320	160	32	32
-	1661	SI_Bullet_Butterfly_3	2	352	160	32	32
-	1662	SI_Bullet_Butterfly_4	2	384	160	32	32
-	1663	SI_Bullet_Butterfly_5	2	416	160	32	32
-	1664	SI_Bullet_Butterfly_6	2	448	160	32	32
-	1665	SI_Bullet_Butterfly_7	2	480	160	32	32
-	1666	SI_Bullet_Knife_0	2	256	192	32	32
-	1667	SI_Bullet_Knife_1	2	288	192	32	32
-	1668	SI_Bullet_Knife_2	2	320	192	32	32
-	1669	SI_Bullet_Knife_3	2	352	192	32	32
-	1670	SI_Bullet_Knife_4	2	384	192	32	32
-	1671	SI_Bullet_Knife_5	2	416	192	32	32
-	1672	SI_Bullet_Knife_6	2	448	192	32	32
-	1673	SI_Bullet_Knife_7	2	480	192	32	32
-	1674	SI_Bullet_Quaver_0	2	256	224	32	32
-	1675	SI_Bullet_Quaver_1	2	288	224	32	32
-	1676	SI_Bullet_Quaver_2	2	320	224	32	32
-	1677	SI_Bullet_Stupa_0	2	352	224	32	32
-	1678	SI_Bullet_LegatoQuaver_0	2	384	224	32	32
-	1679	SI_Bullet_LegatoQuaver_1	2	416	224	32	32
-	1680	SI_Bullet_LegatoQuaver_2	2	448	224	32	32
-	1681	SI_Bullet_LegatoQuaver_3	2	480	224	32	32
-	1682	SI_Bullet_BigShuttle_0	2	256	256	32	32
-	1683	SI_Bullet_BigShuttle_1	2	288	256	32	32
-	1684	SI_Bullet_BigShuttle_2	2	320	256	32	32
-	1685	SI_Bullet_BigShuttle_3	2	352	256	32	32
-	1686	SI_Bullet_BigShuttle_4	2	384	256	32	32
-	1687	SI_Bullet_BigShuttle_5	2	416	256	32	32
-	1688	SI_Bullet_BigShuttle_6	2	448	256	32	32
-	1689	SI_Bullet_BigShuttle_7	2	480	256	32	32
-	1690	SI_Bullet_RedFireBall_0	2	256	288	32	32
-	1691	SI_Bullet_RedFireBall_1	2	288	288	32	32
-	1692	SI_Bullet_RedFireBall_2	2	320	288	32	32
-	1693	SI_Bullet_RedFireBall_3	2	352	288	32	32
-	1694	SI_Bullet_FadedRedFireBall_0	2	384	288	32	32
-	1695	SI_Bullet_FadedRedFireBall_1	2	416	288	32	32
-	1696	SI_Bullet_FadedRedFireBall_2	2	448	288	32	32
-	1697	SI_Bullet_FadedRedFireBall_3	2	480	288	32	32
-	1698	SI_Bullet_BlueFireBall_0	2	256	320	32	32
-	1699	SI_Bullet_BlueFireBall_1	2	288	320	32	32
-	1700	SI_Bullet_BlueFireBall_2	2	320	320	32	32
-	1701	SI_Bullet_BlueFireBall_3	2	352	320	32	32
-	1702	SI_Bullet_FadedBlueFireBall_0	2	384	320	32	32
-	1703	SI_Bullet_FadedBlueFireBall_1	2	416	320	32	32
-	1704	SI_Bullet_FadedBlueFireBall_2	2	448	320	32	32
-	1705	SI_Bullet_FadedBlueFireBall_3	2	480	320	32	32
-	1706	SI_Bullet_FakeKnife_0	2	256	352	32	32
-	1707	SI_Bullet_FakeKnife_1	2	288	352	32	32
-	1708	SI_Bullet_FakeKnife_2	2	320	352	32	32
-	1709	SI_Bullet_FakeKnife_3	2	352	352	32	32
